,amp1mean,amp1std,amp1skew,amp1kurt,amp1dmean,amp1dstd,amp1dskew,amp1dkurt,amp10mean,amp10std,amp10skew,amp10kurt,amp10dmean,amp10dstd,amp10dskew,amp10dkurt,amp100mean,amp100std,amp100skew,amp100kurt,amp100dmean,amp100dstd,amp100dskew,amp100dkurt,amp1000mean,amp1000std,amp1000skew,amp1000kurt,amp1000dmean,amp1000dstd,amp1000dskew,amp1000dkurt,power1,power2,power3,power4,power5,power6,power7,power8,power9,power10
Adele\01 Hometown Glory.mp3,-0.90456,5207.21844393,0.443748938629,4.22572650276,-0.00681001135002,3115.23720117,0.77102468835,11.6024099097,-0.90456,3295.63695965,0.124340483528,3.26225477556,-0.070701178353,5180.01085687,-0.0497788144045,3.59504669458,-0.90456,314.286719413,-0.0343974696341,3.28276258815,0.00220036672779,506.896973771,-0.105729116898,3.73826035991,-0.90456,41.5240994042,0.010149337071,3.27978590275,0.0436160267112,70.9095791135,-0.0644484595269,3.52411965403,0.260286943558,0.224117170931,0.121107973497,0.115394218469,0.0725046008018,0.0680125703599,0.0372262163813,0.0352498956615,0.0442651034763,0.0218353068648
Adele\02 I'll Be Waiting.mp3,-5.54158166667,6346.77182247,0.135256809574,3.56577767327,0.000935001558336,4208.96774578,0.342977654939,6.93082823505,-5.54158166667,4372.90667327,-0.0112790498081,3.44236517164,0.0310805180086,5303.82178535,0.0269464216824,3.38551687121,-5.54158166667,948.305546477,0.00636959298072,3.30176358043,0.256022670445,1699.89374324,0.0693743416028,3.4362584912,-5.54158166667,88.9480493902,0.0182448237291,3.44750379444,0.0346611018364,154.560863321,0.0215986317991,3.3908719192,0.269738196047,0.189365183295,0.11090602113,0.112729658235,0.0820587935414,0.0766560220312,0.0500948482259,0.0454662898006,0.0393721455223,0.0236128421721
Adele\03 Don't You Remember.mp3,-4.10648333333,6542.70958473,0.202583707638,3.45139994559,-0.00507834179724,4310.98684551,0.305700186801,6.41851106594,-4.10648333333,4407.46690996,-0.0168616409215,3.30877198159,0.0120418673645,5601.87617988,0.0340535856177,3.24444163192,-4.10648333333,982.849292141,0.0034365310169,2.94156597031,0.104352392065,1800.26825036,0.0331290938703,2.84628227177,-4.10648333333,83.8422109033,-0.126705778802,3.73522462646,0.211831385643,142.065582389,0.0256082418969,3.72828205826,0.258985204844,0.204078616416,0.109612179189,0.110609748944,0.069925591817,0.0735259588162,0.041278670369,0.063681481936,0.0500099976861,0.018292549983
Adele\04 Turning Tables.mp3,-2.38132333333,5651.51692086,0.313571215338,3.85771223751,0.001455002425,4233.71509562,0.47681990429,8.90853206873,-2.38132333333,3360.09989379,0.02155016517,3.16781052553,0.0218820313672,5472.12853098,0.0205328040363,3.3439582138,-2.38132333333,305.840098888,0.00116693779477,3.62396748747,-0.00773795632605,519.584656198,0.00136331617713,3.91566562543,-2.38132333333,39.3667492198,-0.172168869879,3.00465418696,0.19841903172,68.1804676313,-0.00153691672188,2.98903170773,0.204740906925,0.183915296281,0.129189707004,0.126583437551,0.0941312797237,0.0800239257004,0.0510110071234,0.056340456606,0.0499057360552,0.0241582470303
Adele\05 Set Fire To The Rain.mp3,-5.23515166667,6577.67375489,0.212424764968,3.42569819626,0.00394000656668,4309.82187417,0.489993670155,5.8190266197,-5.23515166667,4309.71304373,0.0354042526608,3.20056083848,0.201706695112,4577.66539484,0.0699515663581,3.51122477239,-5.23515166667,1151.68414518,-0.103036318402,2.58056678402,0.446684447408,2083.38707322,0.116559303169,2.61992781702,-5.23515166667,105.764736785,-0.0338706635613,2.52216161098,0.506776293823,185.880064089,0.0690910184664,2.6707649394,0.238355746324,0.21155746448,0.133507242152,0.122619405441,0.0699727775764,0.0669475493226,0.0454360633418,0.0476036425591,0.0397466428069,0.024253465995
Adele\06 If It Hadn't Been For Love.mp3,-0.583323333333,5081.19857939,0.336806587083,4.2775474059,0.00955668259447,3008.20768333,0.626004659372,11.9207753054,-0.583323333333,3451.56544073,0.217824189285,3.65081412886,0.0623693728229,4650.11352027,0.0157925633353,3.77946358451,-0.583323333333,808.573306903,-0.202441045423,3.96388573657,0.0803967327888,1490.442482,-0.116148900388,3.9217208164,-0.583323333333,69.9814380945,0.127358078364,4.4101747245,-0.0570033388982,123.444388852,-0.0893792442602,4.65432937594,0.281080600425,0.211431091151,0.140427600419,0.106080790064,0.0604593009947,0.0605025417771,0.04166074097,0.040179929545,0.0369646551382,0.0212127495159
Adele\08 Take It All.mp3,-1.51227166667,4777.06618145,0.392958013044,5.08021007918,-0.0091866819778,3385.48235765,0.643609104607,12.6796513769,-1.51227166667,2766.12616756,0.0886048870371,4.01082572515,-0.115746929115,4438.52998536,-0.0118281347181,4.48187202951,-1.51227166667,296.148803472,-0.0271237421962,4.27970115156,-0.0575629271545,511.140035303,-0.0540859364547,4.51383875376,-1.51227166667,30.3337193555,-0.0841692466519,4.59741679245,-0.0217495826377,52.65544021,0.0777348419369,4.36443473745,0.212315180218,0.205108755533,0.129493362566,0.136222117146,0.0799260669138,0.0784834314331,0.0529837895362,0.0436531091849,0.0371623766189,0.0246518108495
Adele\09 Rumour Has It.mp3,-0.597255,4851.27659388,0.26755967954,4.1207414358,0.00795334658891,2460.50262516,0.548274352469,15.8687815,-0.597255,3740.66300039,0.0215460558095,4.02233775076,0.181001350023,4851.30505787,-0.0208499121933,3.82346946769,-0.597255,631.753140394,0.0444470589474,6.70146163927,-0.34517086181,1113.20750304,0.0543961128137,6.55286031785,-0.597255,61.8647144868,-0.110583127352,5.79087488049,0.0473756260434,107.882354133,-0.170989367557,5.31374367922,0.352923853855,0.18560511689,0.0922405297569,0.0879318256731,0.0819789127882,0.0593282324917,0.0430743431996,0.0332916255636,0.0395610519626,0.024064507819
Adele\11 One And Only.mp3,-5.0301,6393.07453688,0.132907722492,3.46277108596,-0.00656834428057,3632.87656143,0.648105199286,9.24877444193,-5.0301,4880.34678013,-0.00687944514548,3.39675488079,-0.0360889348156,5162.84958656,0.07742620626,3.26814227318,-5.0301,1330.78453135,-0.0341887457997,3.2762209969,-0.341801966994,2354.18685139,0.19307174839,3.50748423902,-5.0301,137.314833787,-0.0367537879484,3.11224240083,-0.30485475793,244.662562208,0.0906271317513,3.41205531485,0.29356589951,0.178492763716,0.122208643449,0.11083762006,0.072203735319,0.0680602757067,0.0437202696911,0.0395462567435,0.0462729370188,0.0250915987864
Adele\12 Lovesong.mp3,-1.47559,5928.12300733,0.167060948965,3.36404252706,0.0069066781778,2755.67236402,0.387094133251,10.2716405927,-1.47559,4641.03745404,0.0640402546993,3.46637856951,-0.123428723812,5993.93518062,0.00789639957964,3.26143075522,-1.47559,1213.47872526,-0.0884147241238,3.61184651593,-0.0100733455576,2263.80992607,-0.0915642748957,3.57734848061,-1.47559,104.00020417,-0.186108896741,4.06071855213,-0.185787979967,179.565364261,-0.181361554784,4.54301221402,0.367248420917,0.188395089447,0.0949299934507,0.0986057730093,0.0547191757087,0.0577077672223,0.0367195619731,0.0320705354531,0.0396749008378,0.0299287819807
