,amp1mean,amp1std,amp1skew,amp1kurt,amp1dmean,amp1dstd,amp1dskew,amp1dkurt,amp10mean,amp10std,amp10skew,amp10kurt,amp10dmean,amp10dstd,amp10dskew,amp10dkurt,amp100mean,amp100std,amp100skew,amp100kurt,amp100dmean,amp100dstd,amp100dskew,amp100dkurt,amp1000mean,amp1000std,amp1000skew,amp1000kurt,amp1000dmean,amp1000dstd,amp1000dskew,amp1000dkurt,power1,power2,power3,power4,power5,power6,power7,power8,power9,power10
Adele\01 Hometown Glory.mp3,-2.11719666667,5293.6691964,0.473588649501,4.97806741959,0.00240833734723,3030.02920101,0.845603989405,14.0372339978,-2.11719666667,3393.9942428,0.132666069367,3.80074328139,-0.0124418740312,5186.78356,-0.000934969381174,4.47754515204,-2.11719666667,331.459478976,-0.0704573418404,3.91762816877,-0.000373395565929,526.118886051,-0.0879067330876,4.15366179207,-2.11719666667,44.7770657655,-0.0539748612753,3.52438832113,-0.0530934891486,75.1519875609,0.188655543226,3.73397171648,0.253978184466,0.22720753081,0.167309527848,0.116001039638,0.0623113265225,0.0536391694638,0.0327705340425,0.0289693670386,0.0390702636851,0.0187430564844
Adele\02 I'll Be Waiting.mp3,-4.41789666667,6435.33998446,0.137386090464,3.42029409759,0.00631501052502,4018.23975593,0.369870420951,7.10433674815,-4.41789666667,4739.05087692,-0.0195927875726,3.17660726773,0.109266821114,5589.43228595,-0.0342912193694,3.23320561432,-4.41789666667,1051.37304566,-0.0442932339434,2.93671453685,0.152725454242,1899.43538676,0.0880292062557,2.96523117768,-4.41789666667,103.090380261,0.0253636612419,2.68596811645,0.259906510851,181.541731498,0.0365675249952,2.82219516867,0.289609832515,0.179244201648,0.106563843536,0.107570438165,0.0841940157507,0.0735198210682,0.0492613056056,0.0477914330634,0.039095116253,0.023149992396
Adele\03 Don't You Remember.mp3,-5.91957666667,6400.25604699,0.21082755055,3.80059295975,0.00686834478057,4127.73807803,0.412035979296,7.17429181156,-5.91957666667,4549.55330791,-0.00819084177404,3.85629322249,0.150604176736,5086.1239927,0.0537024561159,3.60938772437,-5.91957666667,1233.60590702,0.0770387363292,2.99346797825,0.104485747625,2230.98565049,0.0476998817297,3.10698409319,-5.91957666667,110.973039263,-0.203638992764,3.76299649323,-0.183826377295,186.614006201,0.101087248712,3.58123653475,0.258719424303,0.191732690446,0.111334826715,0.110237779535,0.0719220598431,0.0709852403447,0.0465463483979,0.0669841081704,0.0535477005345,0.0179898217114
Adele\04 Turning Tables.mp3,-1.51248333333,5401.49855499,0.275350686348,3.68437031028,-0.000175000291667,3648.98798117,0.530430663978,10.1802298423,-1.51248333333,3411.05244939,0.0567320906478,3.09618930255,0.0662927715462,5498.20996067,-0.0107188721067,3.20733357064,-1.51248333333,302.881552536,-0.00133579793862,3.63445621768,0.126687781297,503.968472,0.034465521627,4.0146410548,-1.51248333333,39.8033831836,0.16841581756,3.27656514901,0.0796210350584,67.5383158652,-0.101610826756,3.3159027718,0.22490832224,0.202309319383,0.128580677959,0.114943991337,0.0731831933603,0.0743908562297,0.0459791760204,0.0474942493212,0.0557797663662,0.0324304477823
Adele\05 Set Fire To The Rain.mp3,-3.25258333333,6159.37167344,0.191135850251,3.52268095358,0.0070566784278,3759.32098873,0.498193157055,6.74086522634,-3.25258333333,4413.86586627,-0.00141526039163,3.26521468414,0.122882048034,4626.55388254,0.0292833307213,3.33707086233,-3.25258333333,1147.30840155,-0.0194509501454,2.53714393021,0.58291381897,2026.29445775,0.134337620205,2.58716416997,-3.25258333333,106.872135871,-0.0657287964904,2.50581760785,0.495597662771,185.53240952,0.163313412712,2.73305744102,0.268530186008,0.199044790903,0.109400491279,0.118795431525,0.0753527137378,0.0695132523152,0.0439364815978,0.0490855957472,0.0441499781561,0.0221910787311
Adele\06 If It Hadn't Been For Love.mp3,-0.0163283333333,5876.07938089,0.19789281753,3.78301265663,0.0185050308417,4058.84570725,0.466138367537,8.17756852509,-0.0163283333333,3887.28637556,0.222547002728,3.68346085939,-0.0422207036784,4587.88850476,0.00764599653389,3.82975763809,-0.0163283333333,1014.15227222,-0.211870575946,3.78113084258,-0.109126521087,1809.89403606,-0.136639128212,3.92813904758,-0.0163283333333,91.2587448094,-0.130784020992,3.18074389361,0.133293823038,157.074309944,-0.0431504845755,3.5375421141,0.252992865047,0.188610447417,0.152341830116,0.105495741969,0.0729019284333,0.0693562162147,0.0439766568405,0.0440311009472,0.0445830642144,0.025710148801
Adele\08 Take It All.mp3,-1.46174666667,5056.82351553,0.485544336025,4.64915491246,-0.00852834754725,3755.67459446,0.463239699996,14.1674865762,-1.46174666667,3088.30340261,0.131174827352,3.45339894461,-0.0610326838781,4848.22073454,-0.0324484960543,3.51416241196,-1.46174666667,325.059552502,-0.0166055125343,3.64973593839,-0.0126687781297,558.503617082,-0.0134907749931,3.74068837223,-1.46174666667,33.8133117593,-0.100229109015,3.36326593202,-0.10781803005,58.1180599046,0.12483347678,3.30151937196,0.222506803027,0.204609266015,0.0952177815386,0.10539208695,0.114318373738,0.0879105799585,0.053208378069,0.0496555040008,0.0449966189243,0.0221846077786
Adele\09 Rumour Has It.mp3,-1.48481333333,6143.3699689,0.0919889241528,3.57065515364,0.00521334202224,3090.6848325,0.348230448164,8.23211599564,-1.48481333333,4942.92742611,-0.0122850703857,3.47725209199,0.0688478141302,5546.50875064,-0.000374692411705,3.40495662102,-1.48481333333,1069.7129409,-0.0532854220492,3.94195314172,0.175087514586,1867.1983196,0.0467482606912,4.18572542217,-1.48481333333,110.237851065,0.0843504551776,3.65820456733,-0.0693823038397,193.788736061,0.121605006013,3.80875049831,0.348115318094,0.161218769275,0.121007000644,0.0920320175268,0.0655517180115,0.058687196177,0.0383351993579,0.0439725509121,0.040161853755,0.0309183762471
Adele\11 One And Only.mp3,-5.50954,6422.35885773,0.132365222763,3.58896670796,0.0026433377389,3805.60332435,0.54902862639,9.56606430499,-5.50954,4957.93704167,-0.00518756016674,3.58396481735,-0.0383339722329,4853.58545981,0.0929394961257,3.52898933942,-5.50954,1525.25541919,-0.048629112976,2.96382265016,0.231053508918,2808.27445132,0.159298654815,3.02244594775,-5.50954,157.280759501,-0.118464650685,3.37800895197,0.130719532554,289.38917588,0.120408708266,3.51227748858,0.280483190852,0.149153574355,0.134207210293,0.125108162698,0.0780438461366,0.06951197196,0.0483744533325,0.0426380432022,0.0402529640694,0.0322265831
Adele\12 Lovesong.mp3,-0.972928333333,5521.53508696,0.262551588579,3.80743064664,-0.00358167263612,2326.54030053,0.737715063799,14.5930184461,-0.972928333333,4576.32542768,0.124936910645,3.77768584754,0.112170202837,5105.82602189,0.0199477095626,3.52770545803,-0.972928333333,1348.54180267,-0.0877078086487,3.42890752857,-0.333887314552,2526.93289028,-0.0736235041355,3.45920923891,-0.972928333333,113.115994298,-0.0494279179921,4.25626813879,-0.126756260434,192.072558613,-0.0794021495784,5.14565117057,0.383863873906,0.192071487695,0.100356544127,0.0784251872667,0.0512326027319,0.05626674417,0.0338356955815,0.0284054041866,0.0513812028339,0.0241612575018
